私人定制$$$http://cwc.serv00.net/wallpaper/poster/music.jpg,#genre#
YTList,https://www.youtube.com/playlist?list=PLHkbhoj_h6it_u0lFtMK1EYmNs4UN2f3H

谭咏麟$$$http://cwc.serv00.net/wallpaper/poster/谭咏麟.jpg,#genre#
我的生命我的爱,http://em.21dtv.com/songs/60045207.mkv
再见亦是泪,http://em.21dtv.com/songs/60056915.mkv
知心当玩偶,http://em.21dtv.com/songs/60058678.mkv
爱的根源,http://em.21dtv.com/songs/60007225.mkv
爱的逃兵(演唱会),http://em.21dtv.com/songs/60007384.mkv
爱多一次痛多一次,http://em.21dtv.com/songs/60007487.mkv
傲骨,http://em.21dtv.com/songs/60009430.mkv
爱极爱,http://em.21dtv.com/songs/60007627.mkv
爱莫能助,http://em.21dtv.com/songs/60084815.mkv
爱念,http://em.21dtv.com/songs/60008059.mkv
爱你两个人(演唱会),http://em.21dtv.com/songs/60007929.mkv
爱情陷阱,http://em.21dtv.com/songs/60008429.mkv
爱是唯一要求,http://em.21dtv.com/songs/60008798.mkv
爱是这样甜,http://em.21dtv.com/songs/60008825.mkv
爱在深秋,http://em.21dtv.com/songs/60009189.mkv
捕风的汉子(HD演唱会),http://em.21dtv.com/songs/60010942.mkv
暴风女神lorelei(演唱会),http://em.21dtv.com/songs/60010085.mkv
背后拍掌,http://em.21dtv.com/songs/60010246.mkv
不见不散(演唱会),http://em.21dtv.com/songs/60011177.mkv
不可以逃避(演唱会),http://em.21dtv.com/songs/60011206.mkv
半梦半醒(演唱会),http://em.21dtv.com/songs/60009882.mkv
梦半醒之间,http://em.21dtv.com/songs/60009885.mkv
不灭的爱,http://em.21dtv.com/songs/60011244.mkv
把你藏在歌里面,https://www.youtube.com/watch?v=oX_PebqhiCk
别说多情好,http://em.21dtv.com/songs/60010696.mkv
八十岁后,http://em.21dtv.com/songs/60009491.mkv
伴我飞翔,http://em.21dtv.com/songs/60009927.mkv
帮我欺骗我,http://em.21dtv.com/songs/60009939.mkv
不要放弃爱你的人,http://em.21dtv.com/songs/60011546.mkv
编织,http://em.21dtv.com/songs/60010479.mkv
曾到此(演唱会),http://em.21dtv.com/songs/60012143.mkv
曾经,http://em.21dtv.com/songs/60012147.mkv
迟来的春天,http://em.21dtv.com/songs/60012791.mkv
从来麻烦自找,http://em.21dtv.com/songs/60013536.mkv
蚕丝,http://em.21dtv.com/songs/60065880.mkv
痴心的废墟,http://em.21dtv.com/songs/60012755.mkv
唱一首好歌(演唱会),http://em.21dtv.com/songs/60012356.mkv
创造命运(演唱会),http://em.21dtv.com/songs/60013206.mkv
读爱,http://em.21dtv.com/songs/60015830.mkv
电波中年绝食记(演唱会),http://em.21dtv.com/songs/60015330.mkv
大大时代,http://em.21dtv.com/songs/60013877.mkv
大大世界小小爱,http://em.21dtv.com/songs/60166703.mkv
Don't Say Goodbye,http://em.21dtv.com/songs/60001364.mkv
都为了爱,http://em.21dtv.com/songs/60015723.mkv
第一滴泪(演唱会),http://em.21dtv.com/songs/60015254.mkv
独醉街头,http://em.21dtv.com/songs/60015828.mkv
Elaine(演唱会),http://em.21dtv.com/songs/60001483.mkv
飞马,http://em.21dtv.com/songs/60016826.mkv
Forever Young,http://em.21dtv.com/songs/60065590.mkv
风中劲草(演唱会),http://em.21dtv.com/songs/60017510.mkv
高低一起(演唱会),http://em.21dtv.com/songs/60018195.mkv
